Release Date,Actual,Forecast,Previous
"December 15, 2023", , ,40.80
"December 1, 2023", ,42.30,40.80
"November 23, 2023",42.30,41.20,40.80
"November 2, 2023",40.80,40.70,39.60
"October 24, 2023",40.70,40.00,39.60
"October 2, 2023",39.60,39.80,39.10
"September 22, 2023",39.80,39.50,39.10
"September 1, 2023",39.10,39.10,38.80
"August 23, 2023",39.10,38.70,38.80
"August 1, 2023",38.80,38.80,40.60
"July 24, 2023",38.80,41.00,40.60
"July 3, 2023",40.60,41.00,43.20
"June 23, 2023",41.00,43.50,43.20
"June 1, 2023",43.20,42.90,44.50
"May 23, 2023",42.90,45.00,44.50
"May 2, 2023",44.50,44.00,44.70
"April 21, 2023",44.00,45.70,44.70
"April 3, 2023",44.70,44.40,46.30
"March 24, 2023",44.40,47.00,46.30
"March 1, 2023",46.30,46.50,46.50
"February 21, 2023",46.50,47.80,47.30
"February 1, 2023",47.30,47.00,47.10
"January 24, 2023",47.00,47.90,47.10
"January 2, 2023",47.10,47.40,46.20
"December 16, 2022",47.40,46.30,46.20
"December 1, 2022",46.20,46.70,45.10
"November 23, 2022",46.70,45.00,45.10
"November 2, 2022",45.10,45.70,47.80
"October 24, 2022",45.70,47.00,47.80
"October 3, 2022",47.80,48.30,49.10
"September 23, 2022",48.30,48.30,49.10
"September 1, 2022",49.10,49.80,49.30
"August 23, 2022",49.80,48.20,49.30
"August 1, 2022",49.30,49.20,52.00
"July 22, 2022",49.20,50.60,52.00
"July 1, 2022",52.00,52.00,54.80
"June 23, 2022",52.00,54.00,54.80
"June 1, 2022",54.80,54.70,54.60
"May 24, 2022",54.70,54.00,54.60
"May 2, 2022",54.60,54.10,56.90
"April 22, 2022",54.10,54.50,56.90
"April 1, 2022",56.90,57.60,57.60
"March 24, 2022",57.60,55.80,58.40
"March 1, 2022",58.40,58.50,59.80
"February 21, 2022",58.50,59.50,59.80
"February 1, 2022",59.80,60.50,57.40
"January 24, 2022",60.50,57.00,57.40
"January 3, 2022",57.40,57.90,57.40
"December 16, 2021",57.90,56.80,57.40
"December 1, 2021",57.40,57.60,57.60
"November 23, 2021",57.60,56.90,57.80
"November 2, 2021",57.80,58.20,58.40
"October 22, 2021",58.20,56.50,58.40
"October 1, 2021",58.40,58.50,62.60
"September 23, 2021",58.50,61.50,62.60
"September 1, 2021",62.60,62.70,65.90
"August 23, 2021",62.70,65.00,65.90
"August 2, 2021",65.90,65.60,65.10
"July 23, 2021",65.60,64.20,65.10
"July 1, 2021",65.10,64.90,64.40
"June 23, 2021",64.90,63.00,64.40
"June 1, 2021",64.40,64.00,66.20
"May 21, 2021",64.00,65.90,66.20
"May 3, 2021",66.20,66.40,66.40
"April 23, 2021",66.40,65.80,66.60
"April 1, 2021",66.60,66.60,60.70
"March 24, 2021",66.60,60.80,60.70
"March 1, 2021",60.70,60.60,57.10
"February 19, 2021",60.60,56.50,57.10
"February 1, 2021",57.10,57.00,58.30
"January 22, 2021",57.00,57.50,58.30
"January 4, 2021",58.30,58.60,58.60
"December 16, 2020",58.60,56.40,57.80
"December 1, 2020",57.80,57.90,57.90
"November 23, 2020",57.90,56.50,58.20
"November 2, 2020",58.20,58.00,58.00
"October 23, 2020",58.00,55.10,56.40
"October 1, 2020",56.40,56.60,52.20
"September 23, 2020",56.60,52.50,52.20
"September 1, 2020",52.20,53.00,51.00
"August 21, 2020",53.00,52.50,51.00
"August 3, 2020",51.00,50.00,45.20
"July 24, 2020",50.00,48.00,45.20
"July 1, 2020",45.20,44.60,36.60
"June 23, 2020",44.60,41.50,36.60
"June 1, 2020",36.60,36.80,34.50
"May 21, 2020",36.80,39.20,34.50
"May 4, 2020",34.50,34.40,45.40
"April 23, 2020",34.40,39.00,45.40
"April 1, 2020",45.40,45.50,45.70
"March 24, 2020",45.70,39.60,48.00
"March 2, 2020",48.00,47.80,45.30
"February 21, 2020",47.80,44.80,45.30
"February 3, 2020",45.30,45.20,43.70
"January 24, 2020",45.20,44.50,43.70
"January 2, 2020",43.70,43.40,43.40
"December 16, 2019",43.40,44.50,44.10
"December 2, 2019",44.10,43.80,43.80
"November 22, 2019",43.80,42.90,42.10
"November 4, 2019",42.10,41.90,41.70
"October 24, 2019",41.90,42.00,41.70
"October 1, 2019",41.70,41.40,43.50
"September 23, 2019",41.40,44.00,43.50
"September 2, 2019",43.50,43.60,43.60
"August 22, 2019",43.60,43.00,43.20
"August 1, 2019",43.20,43.10,43.10
"July 24, 2019",43.10,45.10,45.00
"July 1, 2019",45.00,45.40,45.40
"June 21, 2019",45.40,44.60,44.30
"June 3, 2019",44.30,44.30,44.30
"May 23, 2019",44.30,44.80,44.40
"May 2, 2019",44.40,44.50,44.50
"April 18, 2019",44.50,45.00,44.10
"April 1, 2019",44.10,44.70,44.70
"March 22, 2019",44.70,48.00,47.60
"March 1, 2019",47.60,47.60,47.60
"February 21, 2019",47.60,50.00,49.70
"February 1, 2019",49.70,49.90,49.90
"January 24, 2019",49.90,51.40,51.50
"January 2, 2019",51.50,51.50,51.50
"December 14, 2018",51.50,51.80,51.80
"December 3, 2018",51.80,51.60,51.60
"November 23, 2018",51.60,52.30,52.20
"November 2, 2018",52.20,52.30,52.30
"October 24, 2018",52.30,53.50,53.70
"October 1, 2018",53.70,53.70,53.70
"September 21, 2018",53.70,55.70,55.90
"September 3, 2018",55.90,56.10,56.10
"August 23, 2018",56.10,56.50,56.90
"August 1, 2018",56.90,57.30,57.30
"July 24, 2018",57.30,55.50,55.90
"July 2, 2018",55.90,55.90,55.90
"June 22, 2018",55.90,56.30,56.90
"June 1, 2018",56.90,56.80,56.80
"May 23, 2018",56.80,57.90,58.10
"May 2, 2018",58.10,58.10,58.10
"April 23, 2018",58.10,57.60,58.20
"April 3, 2018",58.20,58.40,58.40
"March 22, 2018",58.40,59.80,60.60
"March 1, 2018",60.60,60.30,60.30
"February 21, 2018",60.30,60.60,61.10
"February 1, 2018",61.10,61.20,61.20
"January 24, 2018",61.20,63.20,63.30
"January 2, 2018",63.30,63.30,63.30
