Date,name of holiday
1-Jan-18,New Year's Day
14-Feb-18,Valentine's Day
16-Feb-18,Women's Carnival Day
20-Feb-18,Shrove Monday
21-Feb-18,Shrove Tuesday
22-Feb-18,Ash Wednesday
6-Apr-18,Maundy Thursday
7-Apr-18,Good Friday
9-Apr-18,Easter Sunday
10-Apr-18,Easter Monday
1-May-18,Labour Day
14-May-18,Mother's Day
18-May-18,Ascension Day
28-May-18,Pentecost
29-May-18,Whit Monday
3-Oct-18,National Holiday
1-Nov-18,All Saints' Day
2-Nov-18,All Souls' Day
11-Nov-18,Saint Martin
19-Nov-18,Memorial Day
22-Nov-18,Day of Prayer and Repentance
26-Nov-18,Totensonntag
3-Dec-18,1. Advent
10-Dec-18,2. Advent
17-Dec-18,3. Advent
24-Dec-18,Christmas Eve
24-Dec-18,4. Advent
25-Dec-18,Christmas Day
26-Dec-18,Boxing Day
31-Dec-18,New Year's Eve
1-Jan-19,New Year's Day
14-Feb-19,Valentine's Day
16-Feb-19,Women's Carnival Day
20-Feb-19,Shrove Monday
21-Feb-19,Shrove Tuesday
22-Feb-19,Ash Wednesday
6-Apr-19,Maundy Thursday
7-Apr-19,Good Friday
9-Apr-19,Easter Sunday
10-Apr-19,Easter Monday
1-May-19,Labour Day
14-May-19,Mother's Day
18-May-19,Ascension Day
28-May-19,Pentecost
29-May-19,Whit Monday
3-Oct-19,National Holiday
1-Nov-19,All Saints' Day
2-Nov-19,All Souls' Day
11-Nov-19,Saint Martin
19-Nov-19,Memorial Day
22-Nov-19,Day of Prayer and Repentance
26-Nov-19,Totensonntag
3-Dec-19,1. Advent
10-Dec-19,2. Advent
17-Dec-19,3. Advent
24-Dec-19,Christmas Eve
24-Dec-19,4. Advent
25-Dec-19,Christmas Day
26-Dec-19,Boxing Day
31-Dec-19,New Year's Eve
1-Jan-20,New Year's Day
14-Feb-20,Valentine's Day
16-Feb-20,Women's Carnival Day
20-Feb-20,Shrove Monday
21-Feb-20,Shrove Tuesday
22-Feb-20,Ash Wednesday
6-Apr-20,Maundy Thursday
7-Apr-20,Good Friday
9-Apr-20,Easter Sunday
10-Apr-20,Easter Monday
1-May-20,Labour Day
14-May-20,Mother's Day
18-May-20,Ascension Day
28-May-20,Pentecost
29-May-20,Whit Monday
3-Oct-20,National Holiday
1-Nov-20,All Saints' Day
2-Nov-20,All Souls' Day
11-Nov-20,Saint Martin
19-Nov-20,Memorial Day
22-Nov-20,Day of Prayer and Repentance
26-Nov-20,Totensonntag
3-Dec-20,1. Advent
10-Dec-20,2. Advent
17-Dec-20,3. Advent
24-Dec-20,Christmas Eve
24-Dec-20,4. Advent
25-Dec-20,Christmas Day
26-Dec-20,Boxing Day
31-Dec-20,New Year's Eve
1-Jan-21,New Year's Day
14-Feb-21,Valentine's Day
16-Feb-21,Women's Carnival Day
20-Feb-21,Shrove Monday
21-Feb-21,Shrove Tuesday
22-Feb-21,Ash Wednesday
6-Apr-21,Maundy Thursday
7-Apr-21,Good Friday
9-Apr-21,Easter Sunday
10-Apr-21,Easter Monday
1-May-21,Labour Day
14-May-21,Mother's Day
18-May-21,Ascension Day
28-May-21,Pentecost
29-May-21,Whit Monday
3-Oct-21,National Holiday
1-Nov-21,All Saints' Day
2-Nov-21,All Souls' Day
11-Nov-21,Saint Martin
19-Nov-21,Memorial Day
22-Nov-21,Day of Prayer and Repentance
26-Nov-21,Totensonntag
3-Dec-21,1. Advent
10-Dec-21,2. Advent
17-Dec-21,3. Advent
24-Dec-21,Christmas Eve
24-Dec-21,4. Advent
25-Dec-21,Christmas Day
26-Dec-21,Boxing Day
31-Dec-21,New Year's Eve
1-Jan-22,New Year's Day
14-Feb-22,Valentine's Day
16-Feb-22,Women's Carnival Day
20-Feb-22,Shrove Monday
21-Feb-22,Shrove Tuesday
22-Feb-22,Ash Wednesday
6-Apr-22,Maundy Thursday
7-Apr-22,Good Friday
9-Apr-22,Easter Sunday
10-Apr-22,Easter Monday
1-May-22,Labour Day
14-May-22,Mother's Day
18-May-22,Ascension Day
28-May-22,Pentecost
29-May-22,Whit Monday
3-Oct-22,National Holiday
1-Nov-22,All Saints' Day
2-Nov-22,All Souls' Day
11-Nov-22,Saint Martin
19-Nov-22,Memorial Day
22-Nov-22,Day of Prayer and Repentance
26-Nov-22,Totensonntag
3-Dec-22,1. Advent
10-Dec-22,2. Advent
17-Dec-22,3. Advent
24-Dec-22,Christmas Eve
24-Dec-22,4. Advent
25-Dec-22,Christmas Day
26-Dec-22,Boxing Day
31-Dec-22,New Year's Eve
1-Jan-23,New Year's Day
14-Feb-23,Valentine's Day
16-Feb-23,Women's Carnival Day
20-Feb-23,Shrove Monday
21-Feb-23,Shrove Tuesday
22-Feb-23,Ash Wednesday
6-Apr-23,Maundy Thursday
7-Apr-23,Good Friday
9-Apr-23,Easter Sunday
10-Apr-23,Easter Monday
1-May-23,Labour Day
14-May-23,Mother's Day
18-May-23,Ascension Day
28-May-23,Pentecost
29-May-23,Whit Monday
3-Oct-23,National Holiday
1-Nov-23,All Saints' Day
2-Nov-23,All Souls' Day
11-Nov-23,Saint Martin
19-Nov-23,Memorial Day
22-Nov-23,Day of Prayer and Repentance
26-Nov-23,Totensonntag
3-Dec-23,1. Advent
10-Dec-23,2. Advent
17-Dec-23,3. Advent
24-Dec-23,Christmas Eve
24-Dec-23,4. Advent
25-Dec-23,Christmas Day
26-Dec-23,Boxing Day
31-Dec-23,New Year's Eve
